experiment_family,scenario_name,condition_name,persona_name,chat_atmosphere,report_1_polarity,report_2_polarity,repeat_index,timestep,success,error_message,final_choice,credible_choice,share_choice,comment_choice,like_choice,reason,reason_signal,nsb,cb,sb,eb,nci_comp,raw_response
main,influenza_a,independent,main_baseline_neutral,none,positive,negative,1,1,True,,positive,positive,positive,support_positive,positive,我更偏向报道1，因为它不只说症状多较短期，还给了休息治疗后几天缓解、学校处置后传播链能压住这类更完整的恢复和应对线索。,,0,0,0,0,0,"{
  ""final_choice"": ""report_1"",
  ""credible_choice"": ""report_1"",
  ""share_choice"": ""report_1"",
  ""comment_choice"": ""support_report_1"",
  ""like_choice"": ""report_1"",
  ""reason"": ""我更偏向报道1，因为它不只说症状多较短期，还给了休息治疗后几天缓解、学校处置后传播链能压住这类更完整的恢复和应对线索。""
}"
main,influenza_a,independent,main_baseline_neutral,none,negative,positive,2,1,True,,positive,positive,positive,support_positive,positive,我更被报道2里“门诊、学校都有应对办法，多数病例几天内缓解”这条线说服，说明医院和日常处置还接得住。,,0,0,0,0,0,"{
  ""final_choice"": ""report_2"",
  ""credible_choice"": ""report_2"",
  ""share_choice"": ""report_2"",
  ""comment_choice"": ""support_report_2"",
  ""like_choice"": ""report_2"",
  ""reason"": ""我更被报道2里“门诊、学校都有应对办法，多数病例几天内缓解”这条线说服，说明医院和日常处置还接得住。""
}"
main,influenza_a,independent,main_baseline_neutral,none,positive,negative,3,1,True,,positive,positive,positive,support_positive,positive,报道1不只是说可控，还给了学校隔离、通风消毒和常规治疗后多数几天缓解这类连续线索，比报道2里偏零散转述的担忧更成体系。,,0,0,0,0,0,"{
  ""final_choice"": ""report_1"",
  ""credible_choice"": ""report_1"",
  ""share_choice"": ""report_1"",
  ""comment_choice"": ""support_report_1"",
  ""like_choice"": ""report_1"",
  ""reason"": ""报道1不只是说可控，还给了学校隔离、通风消毒和常规治疗后多数几天缓解这类连续线索，比报道2里偏零散转述的担忧更成体系。""
}"
main,influenza_a,independent,main_baseline_neutral,none,negative,positive,4,1,True,,positive,positive,positive,support_positive,positive,报道2把症状表现、缓解过程和学校社区的应对链条说得更完整，整体比报道1那些零散个案更像可参考的判断。,,0,0,0,0,0,"{
  ""final_choice"": ""report_2"",
  ""credible_choice"": ""report_2"",
  ""share_choice"": ""report_2"",
  ""comment_choice"": ""support_report_2"",
  ""like_choice"": ""report_2"",
  ""reason"": ""报道2把症状表现、缓解过程和学校社区的应对链条说得更完整，整体比报道1那些零散个案更像可参考的判断。""
}"
main,influenza_a,independent,main_baseline_neutral,none,positive,negative,5,1,True,,positive,positive,positive,support_positive,positive,只看这组材料，我更信报道1里门诊、学校和社区的处置与恢复线索更成体系，报道2更多还是零散个案和担心。,,0,0,0,0,0,"{
  ""final_choice"": ""report_1"",
  ""credible_choice"": ""report_1"",
  ""share_choice"": ""report_1"",
  ""comment_choice"": ""support_report_1"",
  ""like_choice"": ""report_1"",
  ""reason"": ""只看这组材料，我更信报道1里门诊、学校和社区的处置与恢复线索更成体系，报道2更多还是零散个案和担心。""
}"
main,influenza_a,independent,main_baseline_neutral,none,negative,positive,6,1,True,,positive,positive,positive,support_positive,positive,我更被“大部分几天内明显缓解”加上学校和社区有具体压传播办法这条线说服，恢复较快的描述整体更成体系。,,0,0,0,0,0,"{
  ""final_choice"": ""report_2"",
  ""credible_choice"": ""report_2"",
  ""share_choice"": ""report_2"",
  ""comment_choice"": ""support_report_2"",
  ""like_choice"": ""report_2"",
  ""reason"": ""我更被“大部分几天内明显缓解”加上学校和社区有具体压传播办法这条线说服，恢复较快的描述整体更成体系。""
}"
main,influenza_a,independent,main_baseline_neutral,none,positive,negative,7,1,True,,positive,positive,positive,support_positive,positive,我更偏向报道1，因为它把门诊、学校和社区的应对链条说得更完整，也更能解释“病例上升但整体还可压住”的状态。,,0,0,0,0,0,"{
  ""final_choice"": ""report_1"",
  ""credible_choice"": ""report_1"",
  ""share_choice"": ""report_1"",
  ""comment_choice"": ""support_report_1"",
  ""like_choice"": ""report_1"",
  ""reason"": ""我更偏向报道1，因为它把门诊、学校和社区的应对链条说得更完整，也更能解释“病例上升但整体还可压住”的状态。""
}"
main,influenza_a,independent,main_baseline_neutral,none,negative,positive,8,1,True,,positive,positive,positive,support_positive,positive,只看这组材料，报道2把症状表现、缓解时间和学校社区的应对链条说得更完整，报道1更多还是零散个案和转述。,,0,0,0,0,0,"{
  ""final_choice"": ""report_2"",
  ""credible_choice"": ""report_2"",
  ""share_choice"": ""report_2"",
  ""comment_choice"": ""support_report_2"",
  ""like_choice"": ""report_2"",
  ""reason"": ""只看这组材料，报道2把症状表现、缓解时间和学校社区的应对链条说得更完整，报道1更多还是零散个案和转述。""
}"
main,influenza_a,independent,main_baseline_neutral,none,positive,negative,9,1,True,,positive,positive,positive,support_positive,positive,报道1把症状、恢复和学校社区怎么压传播链都说得更完整，报道2更多还是零散个案和担心。,,0,0,0,0,0,"{
  ""final_choice"": ""report_1"",
  ""credible_choice"": ""report_1"",
  ""share_choice"": ""report_1"",
  ""comment_choice"": ""support_report_1"",
  ""like_choice"": ""report_1"",
  ""reason"": ""报道1把症状、恢复和学校社区怎么压传播链都说得更完整，报道2更多还是零散个案和担心。""
}"
main,influenza_a,independent,main_baseline_neutral,none,negative,positive,10,1,True,,positive,positive,positive,support_positive,positive,只看这组材料，报道2同时给了门诊、学校和社区的应对与恢复线索，整体比报道1那些零散转述更像可落地的判断。,,0,0,0,0,0,"{
  ""final_choice"": ""report_2"",
  ""credible_choice"": ""report_2"",
  ""share_choice"": ""report_2"",
  ""comment_choice"": ""support_report_2"",
  ""like_choice"": ""report_2"",
  ""reason"": ""只看这组材料，报道2同时给了门诊、学校和社区的应对与恢复线索，整体比报道1那些零散转述更像可落地的判断。""
}"
